station_name,full_price_tickets,reduced_price_tickets,season_tickets,total_entries_exits,interchanges,region,nlc_code,tlc_code
Birkenhead Central,242896,286450,121990,651336,0,North West,2217,BKC
Birkenhead Hamilton Square,736872,443704,213572,1394148,378536,North West,2219,BKQ
Birkenhead North,530804,292162,162506,985472,80816,North West,2145,BKN
Birkenhead Park,279626,227784,123512,630922,0,North West,2220,BKP
Birmingham International,1483356,2707458,489374,4680188,213340,West Midlands,1215,BHI
Birmingham Moor Street,1976672,2756652,1683384,6416708,400786,West Midlands,4515,BMO
Birmingham New Street,8890922,18062676,6381778,33335376,5107139,West Midlands,1127,BHM
Birmingham Snow Hill,767724,1048800,1034696,2851220,269172,West Midlands,1006,BSW
Bishop Auckland,32758,105576,18124,156458,0,North East,7835,BIA
Bishopbriggs,235382,401366,32986,669734,0,Scotland,9940,BBG
Bishops Lydeard,0,0,0,0,0,South West,3446,BIB
Bishops Stortford,935856,1222540,647616,2806012,102607,East of England,6800,BIS
Bishopstone (Sussex),12500,31114,3386,47000,0,South East,5402,BIP
Bishopton (Renfrewshire),210326,368284,92140,670750,0,Scotland,9620,BPT
Bitterne,24084,39494,7644,71222,0,South East,5945,BTE
Blackburn,237322,877442,129748,1244512,75205,North West,2737,BBN
Blackheath,730426,1158186,321328,2209940,6420,London,5095,BKH
Blackhorse Road,640406,1176564,463820,2280790,0,London,7400,BHO
Blackpool North,172774,1752336,48028,1973138,1482,North West,2739,BPN
Blackpool Pleasure Beach,9462,123338,852,133652,0,North West,2738,BPB
Blackpool South,12346,96908,5690,114944,0,North West,2740,BPS
Blackridge,23480,22286,3136,48902,0,Scotland,991,BKR
Blackrod,38076,90806,66918,195800,0,North West,2732,BLK
Blackwater,95396,216838,31526,343760,0,South East,5625,BAW
Blaenau Ffestiniog,15168,24782,0,39950,0,Wales,2450,BFF
Blair Atholl,6778,7884,464,15126,0,Scotland,8750,BLA
Blairhill,123222,182920,36506,342648,0,Scotland,9760,BAI
Blake Street,86614,104908,115010,306532,0,West Midlands,1176,BKT
Blakedown,19476,11764,56768,88008,0,West Midlands,4574,BKD
Blantyre,134572,210412,32524,377508,0,Scotland,9716,BLT
Blaydon,12354,50696,12030,75080,0,North East,7503,BLO
Bleasby,5208,1064,26,6298,0,East Midlands,6204,BSB
Bletchley,221842,538530,204356,964728,44221,South East,1360,BLY
Bloxwich,45812,54124,2348,102284,0,West Midlands,1141,BLX
Bloxwich North,50132,53598,4112,107842,0,West Midlands,1018,BWN
Blundellsands and Crosby,330342,873214,294082,1497638,0,North West,2123,BLN
Blythe Bridge,37288,27734,12546,77568,0,West Midlands,1282,BYB
Bodmin Parkway,17242,247254,15146,279642,0,South West,3501,BOD
Bodorgan,3250,2968,156,6374,0,Wales,2435,BOR
Bognor Regis,191920,573424,244096,1009440,0,South East,5253,BOG
Bogston,9032,13168,1416,23616,0,Scotland,9668,BGS
Bolton,648086,1666594,397494,2712174,399405,North West,2599,BON
Bolton-Upon-Dearne,32710,22800,15868,71378,0,Yorkshire and The Humber,8536,BTD
Bond Street,10859404,22858632,4589950,38307986,236,London,6553,BDS
Bookham,74542,95896,27490,197928,0,South East,5626,BKA
Bootle (Cumbria),3288,7784,926,11998,0,North West,1993,BOC
Bootle New Strand,198000,408718,163252,769970,1430,North West,2195,BNW
Bootle Oriel Road,154714,319366,127564,601644,0,North West,2239,BOT
Bordesley,1642,12440,1034,15116,0,West Midlands,4513,BBS
Borough Green and Wrotham,124992,167490,98370,390852,0,South East,5130,BRG
Borth,42524,14448,976,57948,0,Wales,4304,BRH
Bosham,21012,28804,12300,62116,0,South East,5254,BOH
Boston,63256,153994,7978,225228,0,East Midlands,6216,BSN
Botley,34824,80756,19736,135316,0,South East,5894,BOE
Bottesford,25804,19444,7212,52460,0,East Midlands,6237,BTF
Bourne End,79146,100546,56778,236470,100501,South East,3018,BNE
Bournemouth,461954,1952962,105988,2520904,62051,South West,5876,BMH
Bournville,257894,376510,227738,862142,0,West Midlands,1112,BRV
Bow Brickhill,4360,2830,6084,13274,0,South East,1381,BWB
Bow Street,18136,10028,418,28582,0,Wales,4219,BOW
Bowes Park,174804,191798,60294,426896,0,London,6027,BOP
Bowling,8534,15400,736,24670,0,Scotland,9968,BWG
Box Hill and Westhumble,23398,102358,7124,132880,0,South East,5403,BXW
Bracknell,549320,850928,201964,1602212,12681,South East,5693,BCE
